artist,track_name,region,date,streams
Ed Sheeran,Shape of You,sg,2017-09-04,30146
Ed Sheeran,Shape of You,sg,2017-09-05,30151
Ed Sheeran,Shape of You,sg,2017-09-06,28811
Ed Sheeran,Shape of You,sg,2017-09-07,29674
Ed Sheeran,Shape of You,sg,2017-09-08,29148
Ed Sheeran,Shape of You,sg,2017-09-09,24619
Ed Sheeran,Shape of You,sg,2017-09-10,23573
Ed Sheeran,Shape of You,sg,2017-09-11,26661
Ed Sheeran,Shape of You,sg,2017-09-12,27505
Ed Sheeran,Shape of You,sg,2017-09-13,26580
Ed Sheeran,Shape of You,sg,2017-09-14,27255
Ed Sheeran,Shape of You,sg,2017-09-15,26891
Ed Sheeran,Shape of You,sg,2017-09-16,24245
Ed Sheeran,Shape of You,sg,2017-09-17,23675
Ed Sheeran,Shape of You,sg,2017-09-18,26998
Ed Sheeran,Shape of You,sg,2017-09-19,27197
Ed Sheeran,Shape of You,sg,2017-09-20,27082
Ed Sheeran,Shape of You,sg,2017-09-21,27014
Ed Sheeran,Shape of You,sg,2017-09-22,26254
Ed Sheeran,Shape of You,sg,2017-09-23,24590
Ed Sheeran,Shape of You,sg,2017-09-24,24037
Ed Sheeran,Shape of You,sg,2017-09-25,26847
Ed Sheeran,Shape of You,sg,2017-09-26,26589
